2021-03-18 21:50:31 status unpacked coreutils:armhf 8.30-3
2021-03-18 21:50:32 install dash:armhf <none> 0.5.10.2-5
2021-03-18 21:50:32 status half-installed dash:armhf 0.5.10.2-5
2021-03-18 21:50:32 status unpacked dash:armhf 0.5.10.2-5
2021-03-18 21:50:33 install libdb5.3:armhf <none> 5.3.28+dfsg1-0.5
2021-03-18 21:50:33 status half-installed libdb5.3:armhf 5.3.28+dfsg1-0.5
2021-03-18 21:50:34 status unpacked libdb5.3:armhf 5.3.28+dfsg1-0.5
2021-03-18 21:50:35 upgrade debconf:all 1.5.71 1.5.71
2021-03-18 21:50:35 status half-configured debconf:all 1.5.71
2021-03-18 21:50:35 status unpacked debconf:all 1.5.71
2021-03-18 21:50:36 status half-installed debconf:all 1.5.71
2021-03-18 21:50:36 status unpacked debconf:all 1.5.71
2021-03-18 21:50:37 install debian-archive-keyring:all <none> 2019.1
2021-03-18 21:50:37 status half-installed debian-archive-keyring:all 2019.1
2021-03-18 21:50:38 status unpacked debian-archive-keyring:all 2019.1
2021-03-18 21:50:38 install debianutils:armhf <none> 4.8.6.1
2021-03-18 21:50:38 status half-installed debianutils:armhf 4.8.6.1
2021-03-18 21:50:39 status unpacked debianutils:armhf 4.8.6.1
2021-03-18 21:50:40 install diffutils:armhf <none> 1:3.7-3
2021-03-18 21:50:40 status half-installed diffutils:armhf 1:3.7-3
2021-03-18 21:50:40 status unpacked diffutils:armhf 1:3.7-3
2021-03-18 21:50:41 upgrade dpkg:armhf 1.19.7 1.19.7
2021-03-18 21:50:41 status half-configured dpkg:armhf 1.19.7
2021-03-18 21:50:41 status unpacked dpkg:armhf 1.19.7
2021-03-18 21:50:41 status half-installed dpkg:armhf 1.19.7
2021-03-18 21:50:43 status unpacked dpkg:armhf 1.19.7
2021-03-18 21:50:43 install e2fsprogs:armhf <none> 1.44.5-1+deb10u3
2021-03-18 21:50:43 status half-installed e2fsprogs:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:44 status unpacked e2fsprogs:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:45 install libcom-err2:armhf <none> 1.44.5-1+deb10u3
2021-03-18 21:50:45 status half-installed libcom-err2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:45 status unpacked libcom-err2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:46 install libext2fs2:armhf <none> 1.44.5-1+deb10u3
2021-03-18 21:50:46 status half-installed libext2fs2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:46 status unpacked libext2fs2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:47 install libss2:armhf <none> 1.44.5-1+deb10u3
2021-03-18 21:50:47 status half-installed libss2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:47 status unpacked libss2:armhf 1.44.5-1+deb10u3
2021-03-18 21:50:48 install findutils:armhf <none> 4.6.0+git+20190209-2
2021-03-18 21:50:48 status half-installed findutils:armhf 4.6.0+git+20190209-2
2021-03-18 21:50:49 status unpacked findutils:armhf 4.6.0+git+20190209-2
2021-03-18 21:50:49 install gcc-8-base:armhf <none> 8.3.0-6
2021-03-18 21:50:49 status half-installed gcc-8-base:armhf 8.3.0-6
2021-03-18 21:50:50 status unpacked gcc-8-base:armhf 8.3.0-6
2021-03-18 21:50:51 install libgcc1:armhf <none> 1:8.3.0-6
2021-03-18 21:50:51 status half-installed libgcc1:armhf 1:8.3.0-6
2021-03-18 21:50:51 status unpacked libgcc1:armhf 1:8.3.0-6
2021-03-18 21:50:52 install libstdc++6:armhf <none> 8.3.0-6
2021-03-18 21:50:52 status half-installed libstdc++6:armhf 8.3.0-6
2021-03-18 21:50:53 status unpacked libstdc++6:armhf 8.3.0-6
2021-03-18 21:50:54 install libc-bin:armhf <none> 2.28-10
2021-03-18 21:50:54 status half-installed libc-bin:armhf 2.28-10
2021-03-18 21:50:55 status unpacked libc-bin:armhf 2.28-10
2021-03-18 21:50:56 upgrade libc6:armhf 2.28-10 2.28-10
2021-03-18 21:50:56 status half-configured libc6:armhf 2.28-10
2021-03-18 21:50:56 status unpacked libc6:armhf 2.28-10
2021-03-18 21:50:56 status half-installed libc6:armhf 2.28-10
2021-03-18 21:51:00 status unpacked libc6:armhf 2.28-10
2021-03-18 21:51:01 install libgmp10:armhf <none> 2:6.1.2+dfsg-4
2021-03-18 21:51:01 status half-installed libgmp10:armhf 2:6.1.2+dfsg-4
2021-03-18 21:51:01 status unpacked libgmp10:armhf 2:6.1.2+dfsg-4
2021-03-18 21:51:02 install gpgv:armhf <none> 2.2.12-1+deb10u1
2021-03-18 21:51:02 status half-installed gpgv:armhf 2.2.12-1+deb10u1
2021-03-18 21:51:02 status unpacked gpgv:armhf 2.2.12-1+deb10u1
2021-03-18 21:51:03 install libgnutls30:armhf <none> 3.6.7-4+deb10u6
2021-03-18 21:51:03 status half-installed libgnutls30:armhf 3.6.7-4+deb10u6
2021-03-18 21:51:05 status unpacked libgnutls30:armhf 3.6.7-4+deb10u6
2021-03-18 21:51:05 install grep:armhf <none> 3.3-1
2021-03-18 21:51:05 status half-installed grep:armhf 3.3-1
2021-03-18 21:51:06 status unpacked grep:armhf 3.3-1
2021-03-18 21:51:06 install gzip:armhf <none> 1.9-3
2021-03-18 21:51:06 status half-installed gzip:armhf 1.9-3
2021-03-18 21:51:07 status unpacked gzip:armhf 1.9-3
2021-03-18 21:51:07 install hostname:armhf <none> 3.21
2021-03-18 21:51:07 status half-installed hostname:armhf 3.21
2021-03-18 21:51:08 status unpacked hostname:armhf 3.21
2021-03-18 21:51:08 install init-system-helpers:all <none> 1.56+nmu1
2021-03-18 21:51:08 status half-installed init-system-helpers:all 1.56+nmu1
2021-03-18 21:51:09 status unpacked init-system-helpers:all 1.56+nmu1
2021-03-18 21:51:09 install libcap-ng0:armhf <none> 0.7.9-2
2021-03-18 21:51:09 status half-installed libcap-ng0:armhf 0.7.9-2
2021-03-18 21:51:10 status unpacked libcap-ng0:armhf 0.7.9-2
2021-03-18 21:51:11 install libffi6:armhf <none> 3.2.1-9
2021-03-18 21:51:11 status half-installed libffi6:armhf 3.2.1-9
2021-03-18 21:51:11 status unpacked libffi6:armhf 3.2.1-9
2021-03-18 21:51:12 install libgcrypt20:armhf <none> 1.8.4-5
2021-03-18 21:51:12 status half-installed libgcrypt20:armhf 1.8.4-5
2021-03-18 21:51:13 status unpacked libgcrypt20:armhf 1.8.4-5
2021-03-18 21:51:13 install libgpg-error0:armhf <none> 1.35-1
2021-03-18 21:51:13 status half-installed libgpg-error0:armhf 1.35-1
2021-03-18 21:51:14 status unpacked libgpg-error0:armhf 1.35-1
2021-03-18 21:51:14 install libidn2-0:armhf <none> 2.0.5-1+deb10u1
2021-03-18 21:51:14 status half-installed libidn2-0:armhf 2.0.5-1+deb10u1
